population_density,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million
54.422,1.0,1.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,7.0,6.0,0.857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,24.0,17.0,2.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,91.0,67.0,9.571,2.0,2.0,0.286,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,274.0,183.0,26.143,5.0,3.0,0.429,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,521.0,247.0,35.286,15.0,10.0,1.429,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,908.0,387.0,55.286,30.0,15.0,2.143,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,1330.0,422.0,60.286,43.0,13.0,1.857,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,2171.0,841.0,120.143,64.0,21.0,3.0,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,3563.0,1392.0,198.857,105.0,41.0,5.857,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,6053.0,2490.0,355.714,153.0,48.0,6.857,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,9866.0,3813.0,544.714,211.0,58.0,8.286,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,14443.0,4577.0,653.857,248.0,37.0,5.286,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,19551.0,5108.0,729.714,327.0,79.0,11.286,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,24102.0,4551.0,650.143,451.0,124.0,17.714,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,28297.0,4195.0,599.286,548.0,97.0,13.857,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,30616.0,2319.0,331.286,703.0,155.0,22.143,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,32672.0,2056.0,293.714,826.0,123.0,17.571,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
